,0

0,0.133055

1,0.43333334

2,0.18170667

3,0.033333335

4,0.25

5,0.12

6,0.31666666

7,0.059558332

8,0.225

9,0.20833333

10,0.085535

11,0.06746833

12,0.06652667

13,0.145

14,0.14166667

15,0.013333334

16,0.06948166

17,0.19007833

18,0.009511666

19,0.093333334

20,0.072218336

21,0.01012

22,0.07983167

23,0.16333333

24,0.19166666

25,0.5416667

26,0.07

27,0.055851668

28,0.16666667

29,0.19517334

30,0.09883834

31,0.11666667

32,0.11404666

33,0.75

34,0.077931665

35,0.12355

36,0.17166667

37,0.41666666

38,0.016666668

39,0.23

40,0.07626667

41,0.133055

42,0.08363333

43,0.17666666

44,0.18812

45,0.02661

46,0.12826334

47,0.31333333

48,0.175

49,0.116898336

50,0.01012

51,0.15166667

52,0.07649333

53,0.091236666

54,0.1

55,0.24710166

56,0.064626664

57,0.19666667

58,0.2

59,0.23058334

60,0.18333334

61,0.218

62,0.036115

63,0.68666667

64,0.07603

65,0.104543336

66,0.08211333

67,0.317

68,0.175

69,0.15206167

70,0.104543336

71,0.07032833

72,0.13754667

73,0.25

74,0.39166668

75,0.08865333

76,0.16666667

77,0.009015

78,0.45

79,0.13333334

80,0.131995

81,0.23333333

82,0.090396665

83,0.07880333

84,0.25611168

85,0.04746

86,0.09850334

87,0.18333334

88,0.28333333

89,0.13333334

90,0.14775667

91,0.128055

92,0.032681666

93,0.46

94,0.049585

95,0.14882334

96,0.02

97,0.75

98,0.11666667

99,0.15957667

100,0.125

101,0.25

102,0.060431667

103,0.10333333

104,0.12166667

105,0.085865

106,0.31240332

107,0.19166666

108,0.25

109,0.050713334

110,0.15760666

111,0.18912667

112,0.17193334

113,0.02

114,0.07565167

115,0.375

116,0.083333336

117,0.066981666

118,0.15

119,0.33333334

120,0.1

121,0.33333334

122,0.083333336

123,0.183395

124,0.017256666

125,0.25166667

126,0.2

127,0.015776666

128,0.033333335

129,0.067616664

130,0.16666667

131,0.08274333

132,0.064

133,0.04

134,0.16666667

135,0.15

136,0.106185

137,0.12894

138,0.36666667

139,0.13333334

140,0.225

141,0.4
